buckets,bucket_in,bucket_out,bucket_usd,file_in,file_out,file_usd,ratio
5,964,326,0.0102,589,299,0.0063,0.61
22,1080,340,0.0107,1422,1111,0.0209,1.95
82,1082,325,0.0105,4362,4042,0.0737,7.02
