buckets,file_tokens,subgraph_tokens,agent_overhead,context_ratio,effective_ratio
2,60,75,1559,0.800,0.991
4,109,75,1559,1.453,1.021
7,183,75,1559,2.440,1.066
12,305,75,1559,4.067,1.141
22,558,75,1559,7.440,1.296
42,1063,75,1559,14.173,1.605
82,2073,75,1559,27.640,2.223
162,4138,75,1559,55.173,3.487
322,8298,75,1559,110.640,6.032
